edge,parent,node_i,node_j,rest_length,ligament_width,thickness,axial_stiffness_proxy,bending_stiffness_proxy,compliance_factor,boundary_factor,demand_pct,kind
35,35,23,35,4.618802506005169,1.2214471571199628,1.0,1.1394173022025345,1.4792733388449872,1.0,1.0,19.56648108762915,lattice
36,36,24,25,4.618802153517005,1.1229366937502263,1.0,1.0475226769529287,1.1494505707760199,1.0,1.0,16.827747871067512,lattice
37,37,25,26,4.618802153517005,1.177135149651672,1.0,1.0980812809495542,1.3240471916763725,1.0,1.0,26.326525107875298,lattice
38,38,25,38,4.618802506005169,1.2262527239822467,1.0,1.1439001371723978,1.496801935992279,1.0,1.0,19.453592318809363,lattice
39,39,26,27,4.618802153517004,1.2733169967188225,1.0,1.1878037617223387,1.6758459300929218,1.0,1.0,20.647575015845156,lattice
40,40,27,28,4.618802153517005,1.4006594101052783,1.0,1.3065941320990833,2.230602118526964,1.0,1.0,47.4786348808057,lattice
41,41,27,37,4.618802506005169,1.4077935265208872,1.0,1.313249036355226,2.2648595341775524,1.0,1.0,30.01664106176616,lattice
42,42,28,29,4.618802153517009,1.1690875738131101,1.0,1.0905741630217929,1.297076567446441,1.0,1.0,33.8242720104118,lattice
43,43,28,41,4.618802329761096,1.3035644826318482,1.0,1.2160198450383826,1.798133729391908,1.0,1.0,29.450017049089517,lattice
44,44,30,31,4.618802153517006,1.4539377603725072,1.0,1.3562944227799192,2.4949504659531527,1.0,1.0,17.814059819493977,lattice
45,45,30,33,4.618802153517006,1.582208251544866,1.0,1.475950543231553,3.2152549508443133,1.0,1.0,48.089018421094075,lattice
46,46,30,44,4.618802506005169,1.5203886789117522,1.0,1.4182825320987364,2.852911253810594,1.0,1.0,38.50070811521433,lattice
47,47,31,34,4.618802153517006,1.3314715742747991,1.0,1.2420528027391182,1.9161088532021127,1.0,1.0,36.8742178520977,lattice
48,48,32,33,4.618802153517008,1.2938748303726513,1.0,1.2069809754168095,1.7583335964755693,1.0,1.0,65.9874417332166,lattice
49,49,33,45,4.618802329761097,1.3603259122014952,1.0,1.2689692968753061,2.0433997832450053,1.0,1.0,13.465472315202343,lattice
50,50,34,35,4.618802153517007,1.2415776313139053,1.0,1.1581959439363594,1.5536247066823987,1.0,1.0,19.19292131605164,lattice
51,51,34,48,4.618802506005169,1.302224146362109,1.0,1.2147694765686745,1.79259265532966,1.0,1.0,27.34248658296723,lattice
52,52,35,42,4.61880509007311,1.1921934096534321,1.0,1.1121275534760144,1.3755101587347605,1.0,1.0,24.03514790636747,lattice
