edge,parent,node_i,node_j,rest_length,ligament_width,thickness,axial_stiffness_proxy,bending_stiffness_proxy,compliance_factor,boundary_factor,demand_pct,kind
15,15,9,10,4.618802153517008,1.2101580613047258,1.0,1.1288754698096346,1.4385935476637475,1.0,1.0,0.30892699201168217,lattice
16,16,10,11,4.618802153517009,1.2101611632729727,1.0,1.1288783634282233,1.4386046102259507,1.0,1.0,0.3382945170381957,lattice
17,17,11,22,4.624012388998759,1.2547056831090795,1.0,1.1691121491230945,1.5979696289638587,1.0,1.0,18.859962149390896,lattice
18,18,12,13,4.618802153517005,1.5282630496971024,1.0,1.425614325420835,2.8973846322716095,1.0,1.0,16.73396944943184,lattice
19,19,12,17,4.618802153517005,1.5430744340142981,1.0,1.4394308746504278,2.9824449841048675,1.0,1.0,27.99716994775161,lattice
20,20,12,33,4.618806320702436,1.5805191955336468,1.0,1.4743592566130441,3.2048666394361924,1.0,1.0,15.372292092822315,lattice
21,21,13,14,4.618802153517009,1.4711797145698853,1.0,1.3723651021825385,2.584693184230164,1.0,1.0,5.440491544408954,lattice
22,22,13,18,4.618802153517005,1.5086161463221492,1.0,1.4072870440624046,2.78707123028325,1.0,1.0,21.23416566847942,lattice
23,23,14,15,4.618802153517007,1.2814061622206319,1.0,1.1953380551249548,1.7079385382464183,1.0,1.0,13.39272825752893,lattice
24,24,15,16,4.618802153517007,1.281407758158996,1.0,1.1953395438690522,1.7079449197547456,1.0,1.0,15.789179674691933,lattice
25,25,16,17,4.618802153517009,1.2814172278414553,1.0,1.1953483775020926,1.7079827854898377,1.0,1.0,20.706580924598295,lattice
26,26,17,34,4.618804237111129,1.333664816062251,1.0,1.2440860948454096,1.9255345162814823,1.0,1.0,25.54149985444496,lattice
27,27,18,19,4.618802153517006,1.5000767050768764,1.0,1.3993211707968276,2.740010419370702,1.0,1.0,18.783690419035736,lattice
28,28,18,37,4.618806320702436,1.5571683980085496,1.0,1.4525768799246042,3.064907572584856,1.0,1.0,15.040325453336578,lattice
29,29,19,20,4.618802153517005,1.4905082602815767,1.0,1.3903954089818829,2.6879115611157665,1.0,1.0,18.960295666287273,lattice
30,30,20,21,4.618802153517005,1.4896224569650587,1.0,1.389569102347182,2.683122162110488,1.0,1.0,20.71164863557291,lattice
31,31,20,39,4.618806320702436,1.5477431647636632,1.0,1.4437847185135917,3.009589911229077,1.0,1.0,19.799019021472564,lattice
32,32,21,22,4.618802153517009,1.4348990099572374,1.0,1.3385212608082386,2.3981471149000866,1.0,1.0,22.307899122144548,lattice
33,33,21,23,4.618796280407601,1.4921347591701513,1.0,1.3919144308576532,2.696730905836464,1.0,1.0,20.7692827340739,lattice
34,34,23,24,4.618802153517005,1.4983065039268129,1.0,1.3976698686084337,2.7303216187177823,1.0,1.0,19.18609880900588,lattice
35,35,23,41,4.6188063207074155,1.5530233667452351,1.0,1.4487102611377167,3.0404972058853095,1.0,1.0,19.853652321606052,lattice
36,36,24,25,4.618808026628898,1.5124529883780138,1.0,1.4108643832419152,2.808379602095572,1.0,1.0,18.844102062068103,lattice
37,37,25,26,4.618802153517005,1.5254611413324612,1.0,1.4230006126153463,2.8814776885093436,1.0,1.0,21.415713269308533,lattice
38,38,25,43,4.618806320702436,1.5721975083131028,1.0,1.466596518508427,3.1545102951661392,1.0,1.0,15.084987971789099,lattice
39,39,26,27,4.618802153517009,1.488968577192896,1.0,1.388959141666339,2.6795903894328648,1.0,1.0,5.463792503712073,lattice
40,40,26,28,4.618802153517005,1.5487047787293298,1.0,1.444683046444019,3.0152111396141565,1.0,1.0,16.804208650661543,lattice
41,41,27,31,4.618802153517007,1.2920989712226605,1.0,1.2053126610642284,1.7510524534672656,1.0,1.0,13.564170617967552,lattice
42,42,28,29,4.618802153517005,1.5669351677684538,1.0,1.461688956373806,3.122949037309598,1.0,1.0,28.061562602931,lattice
43,43,28,45,4.618806320702436,1.6034360127996905,1.0,1.495736802525666,3.346305126402433,1.0,1.0,15.38981898373084,lattice
44,44,29,30,4.618802153517009,1.2921100240046108,1.0,1.2053229714648406,1.7510973900400948,1.0,1.0,20.588505751288764,lattice
45,45,29,48,4.618804237111129,1.3468327408143754,1.0,1.2563695650882987,1.9831347373711163,1.0,1.0,25.798311123270867,lattice
46,46,30,31,4.618802153517007,1.2920969568620597,1.0,1.205310782002028,1.7510442638959125,1.0,1.0,16.018567166559205,lattice
47,47,32,33,4.618802153517005,1.6296212992435155,1.0,1.5201646533775213,3.5129493691196916,1.0,1.0,19.0472345978554,lattice
48,48,32,35,4.618802153517005,1.640423460344786,1.0,1.530241266572172,3.583271609952312,1.0,1.0,34.81313646927795,lattice
49,49,32,50,4.618798691307905,1.6747354795882536,1.0,1.5622498241601728,3.812865216413504,1.0,1.0,20.668574510895898,lattice
50,50,33,36,4.618802153517005,1.6148099149263213,1.0,1.50634810414793,3.4180313017353634,1.0,1.0,29.639714899222902,lattice
51,51,34,35,4.618802153517009,1.3336692116974582,1.0,1.2440907564607018,1.9255561614107488,1.0,1.0,28.066227585185043,lattice
52,52,35,51,4.618800422413426,1.378761795798859,1.0,1.286155092550342,2.1275512231210585,1.0,1.0,29.533921625083547,lattice
53,53,36,37,4.618802153517005,1.6095680689334773,1.0,1.501458336813354,3.3848533469498276,1.0,1.0,21.11141132273291,lattice
54,54,36,54,4.618798691307905,1.658691491758196,1.0,1.547283450382448,3.7043297639188157,1.0,1.0,19.149388852763693,lattice
55,55,37,38,4.618802153517005,1.601028627688198,1.0,1.4934924635477713,3.3312644195041514,1.0,1.0,26.095206944650418,lattice
56,56,38,39,4.618802153517006,1.601188161677283,1.0,1.493641282129936,3.3322603470914465,1.0,1.0,23.858784128716227,lattice
57,57,38,56,4.618798691307905,1.6536091858567694,1.0,1.542542503768727,3.6703832874327253,1.0,1.0,20.525531194746115,lattice
58,58,39,40,4.618802153517005,1.6003023583607694,1.0,1.4928149754952393,3.3267330242661184,1.0,1.0,24.927734233082568,lattice
59,59,40,41,4.618802153517006,1.6031353569867013,1.0,1.4954576903248795,3.3444321625707136,1.0,1.0,25.161010957149244,lattice
60,60,40,58,4.618798691307905,1.656592715542358,1.0,1.545325641036371,3.6902860564241258,1.0,1.0,21.823356583250252,lattice
61,61,41,42,4.618802153517004,1.609307196821147,1.0,1.501214986677712,3.383207804734933,1.0,1.0,23.966756157085634,lattice
62,62,42,43,4.618802153517005,1.6144309059348603,1.0,1.5059945520236424,3.415625147514579,1.0,1.0,26.408398816366073,lattice
63,63,42,60,4.618798691312884,1.6645703569564143,1.0,1.5527674544125247,3.743857062311916,1.0,1.0,20.63152667921271,lattice
64,64,43,44,4.618802153517005,1.6274390588904808,1.0,1.5181289873909527,3.4988555939924564,1.0,1.0,21.32062407365771,lattice
65,65,44,45,4.618802153517005,1.6370515237495138,1.0,1.5270958125774663,3.5612204519510193,1.0,1.0,29.967288764797573,lattice
66,66,44,62,4.618798691307905,1.679306225725826,1.0,1.5665135705468312,3.8441691086909047,1.0,1.0,19.295793026291584,lattice
67,67,45,46,4.618802153517005,1.655281912788638,1.0,1.5441017225072533,3.681524731771681,1.0,1.0,19.29316064771731,lattice
68,68,46,47,4.618802153517005,1.6694782973519053,1.0,1.557344579623107,3.7770622880728557,1.0,1.0,35.03018566360032,lattice
69,69,46,64,4.618798691307905,1.7031150465608142,1.0,1.5887232428301619,4.010003464134858,1.0,1.0,20.724648270785508,lattice
