edge,node_i,node_j,x_i_flat_mm,y_i_flat_mm,x_j_flat_mm,y_j_flat_mm,rest_length_mm,direct_stretch,relaxed_stretch,relaxed_strain_pct,boundary_edge,x_i_relaxed_mm,y_i_relaxed_mm,z_i_relaxed_mm,x_j_relaxed_mm,y_j_relaxed_mm,z_j_relaxed_mm
20,16,17,-24.0,-36.41393522592843,-24.0,-31.795133072411417,4.618802153517009,1.0191893779120456,1.1416189757296027,14.16189757296027,True,-23.97307804019727,-36.275634898147594,35.1676470565221,-23.846926412253595,-31.47639530357707,32.98705356469781
21,17,40,-24.0,-31.795133072411417,-28.0,-29.48572782846749,4.618804237111129,1.0128065059023368,1.273045110807279,27.304511080727888,True,-23.846926412253595,-31.47639530357707,32.98705356469781,-28.203194058632704,-29.622296739947327,36.47403183504598
22,18,19,-12.0,-29.485731995652916,-7.999999999999999,-31.795133072411417,4.618802153517006,1.0042710908129198,1.1949708684330185,19.497086843301847,False,-14.811235262306093,-32.713052084519546,20.178917669227342,-9.707789659332844,-33.999254427443,18.516517434478235
23,18,43,-12.0,-29.485731995652916,-12.0,-24.86692567495048,4.618806320702436,1.2422914074167892,1.2252048782950204,22.520487829502045,False,-14.811235262306093,-32.713052084519546,20.178917669227342,-15.141463664080666,-28.78708657204176,16.116671453464864
24,19,20,-7.999999999999999,-31.795133072411417,-7.999999999999999,-36.41393522592843,4.618802153517009,1.620455674552006,1.0973971694559788,9.739716945597877,True,-9.707789659332844,-33.999254427443,18.516517434478235,-8.485213042488644,-36.98793160113334,22.42348985755914
25,19,22,-7.999999999999999,-31.795133072411417,-3.9999999999999996,-29.485731995652916,4.618802153517005,1.1978984294684067,1.2135890331884176,21.35890331884176,False,-9.707789659332844,-33.999254427443,18.516517434478235,-5.265233067414218,-32.66290453534252,15.3704789978163
26,20,21,-7.999999999999999,-36.41393522592843,-12.0,-38.72333630268693,4.618802153517008,2.0820031670784065,1.266833221936331,26.683322193633096,True,-8.485213042488644,-36.98793160113334,22.42348985755914,-11.834307900366802,-37.97188552897113,27.1195039576012
27,20,25,-7.999999999999999,-36.41393522592843,-3.9999999999999996,-38.72333630268693,4.618802153517007,1.1657525334892684,1.0447087600360634,4.470876003606339,True,-8.485213042488644,-36.98793160113334,22.42348985755914,-3.861705578602646,-38.267718393566845,22.942020686877072
28,22,23,-3.9999999999999996,-29.485731995652916,8.881784197001252e-16,-31.795133072411417,4.618802153517005,1.0641766942155355,1.1773543605621166,17.73543605621166,False,-5.265233067414218,-32.66290453534252,15.3704789978163,0.016469619026517054,-33.7962252535142,15.995526523166426
29,22,45,-3.9999999999999996,-29.485731995652916,-3.999999999999999,-24.86692567495048,4.618806320702436,1.203706953483211,1.151752590158766,15.175259015876597,False,-5.265233067414218,-32.66290453534252,15.3704789978163,-5.305761518957617,-28.689050277723613,11.83405658726494
