edge,node_i,node_j,x_i_flat_mm,y_i_flat_mm,x_j_flat_mm,y_j_flat_mm,rest_length_mm,direct_stretch,relaxed_stretch,relaxed_strain_pct,boundary_edge,x_i_relaxed_mm,y_i_relaxed_mm,z_i_relaxed_mm,x_j_relaxed_mm,y_j_relaxed_mm,z_j_relaxed_mm
63,44,49,15.999998092651369,-9.774088776658775,15.99999829986864,-5.155286685937705,4.618802090721075,1.225161739636389,1.2321121072396106,23.211210723961063,False,17.362310644233585,-10.418797682568272,22.75661529380629,17.6495786487175,-5.864127723709853,26.156408866174687
64,45,46,19.99999809265137,-12.083489853417278,19.99999809265137,-16.702292006934286,4.618802153517008,2.3961466038115073,1.243601813391724,24.360181339172392,True,19.797131699166886,-12.164655695374176,17.841563845238127,19.022704949404005,-15.567836826467342,13.27959152718587
65,45,62,19.99999809265137,-12.083489853417278,23.999998092651367,-9.774088424170612,4.6188023297610945,1.1770492297066908,1.0556469116168223,5.564691161682234,True,19.797131699166886,-12.164655695374176,17.841563845238127,23.489548280650343,-9.244443968750746,16.571883970525462
66,46,47,19.99999809265137,-16.702292006934286,15.999998092651369,-19.011693083692787,4.618802153517007,1.6075016175619612,1.0740382357205804,7.403823572058044,True,19.022704949404005,-15.567836826467342,13.27959152718587,15.348144524818544,-18.32618643340715,15.14998006351032
67,48,49,11.99999829986864,-2.8458856091792013,15.99999829986864,-5.155286685937705,4.618802153517007,1.2234327354552048,1.246482150719905,24.64821507199051,False,14.225842052174908,-3.054690584054106,29.83486905849729,17.6495786487175,-5.864127723709853,26.156408866174687
68,48,50,11.99999829986864,-2.8458856091792013,7.999998299868639,-5.155286685937705,4.618802153517007,1.0031568320353017,1.2060944930554862,20.609449305548623,False,14.225842052174908,-3.054690584054106,29.83486905849729,9.363785289433448,-5.634580801308916,30.69358957644249
69,48,74,11.99999829986864,-2.8458856091792013,11.999998092651367,1.7729134974127998,4.6187991065920055,1.0529852322300954,1.250845571035674,25.084557103567406,False,14.225842052174908,-3.054690584054106,29.83486905849729,14.579327117099597,2.469273401340212,31.489943639060552
70,49,60,15.99999829986864,-5.155286685937705,19.999998092651367,-2.8458851938951026,4.618802181703657,1.0700882987606166,1.1581567858664834,15.81567858664834,False,17.6495786487175,-5.864127723709853,26.156408866174687,21.734497476394267,-2.9919261812987408,24.23836928868492
71,50,59,7.999998299868639,-5.155286685937705,3.9999980926513676,-2.8458851938951026,4.6188025406144835,1.0766999590033124,1.250955813106757,25.09558131067571,False,9.363785289433448,-5.634580801308916,30.69358957644249,4.907017808830135,-2.8261971776485284,33.067308212686285
72,51,52,-20.000001907348633,-2.8458851938951026,-16.000001907348633,-5.1552862706536065,4.618802153517007,1.0704130475774942,1.156563720761581,15.65637207615811,False,-21.750508113634933,-2.946429876925796,24.250626212451987,-17.683305499734743,-5.849170246007649,26.139613658430907
73,51,54,-20.000001907348633,-2.8458851938951026,-24.000001907348633,-5.1552862706536065,4.618802153517007,1.6209831333626137,1.1782844598735025,17.82844598735025,True,-21.750508113634933,-2.946429876925796,24.250626212451987,-24.112893191669563,-5.181224696469263,19.886791516944527
74,51,64,-20.000001907348633,-2.8458851938951026,-20.000000211927624,1.7729134974127998,4.618798691308213,1.0748309297318308,1.1904660293363798,19.046602933637978,False,-21.750508113634933,-2.946429876925796,24.250626212451987,-22.382600186319873,2.286263136901121,25.81687585354062
75,52,55,-16.000001907348633,-5.1552862706536065,-12.000001907348633,-2.8458851938951026,4.618802153517007,1.2233732445111094,1.2495749455788048,24.957494557880477,False,-17.683305499734743,-5.849170246007649,26.139613658430907,-14.27598317849033,-3.005194769308791,29.82914285679867
76,53,54,-24.000001907348633,-9.774088424170612,-24.000001907348633,-5.1552862706536065,4.618802153517006,1.5120396478128155,1.1466409915272424,14.66409915272424,True,-23.491322554749104,-9.247192799212993,16.55057929082124,-24.112893191669563,-5.181224696469263,19.886791516944527
77,54,65,-24.000001907348633,-5.1552862706536065,-28.000000211927624,-2.845888656104206,4.618798954135292,1.489612451951323,1.1348694094662575,13.486940946625747,True,-24.112893191669563,-5.181224696469263,19.886791516944527,-27.32478776964695,-2.642221246408936,16.61372471817399
78,55,56,-12.000001907348633,-2.8458851938951026,-8.000001907348633,-5.1552862706536065,4.618802153517007,1.0031382578988317,1.203416150716543,20.341615071654306,False,-14.27598317849033,-3.005194769308791,29.82914285679867,-9.489052407894606,-5.722003885385723,30.603350776443502
79,55,68,-12.000001907348633,-2.8458851938951026,-12.000001907348633,1.7729134974127998,4.618798691307902,1.052922864348906,1.25872387675589,25.872387675588993,False,-14.27598317849033,-3.005194769308791,29.82914285679867,-14.60330950025762,2.554705864934747,31.496638613709838
80,56,57,-8.000001907348633,-5.1552862706536065,-4.000001907348633,-2.8458851938951026,4.618802153517007,1.0769986529780442,1.2577148968585128,25.77148968585128,False,-9.489052407894606,-5.722003885385723,30.603350776443502,-5.0927928576605765,-2.8101942946355964,33.04063022810564
81,57,58,-4.000001907348633,-2.8458851938951026,-1.9073486319243216e-06,-5.1552862706536065,4.618802153517007,1.0124788618649365,1.2302949541259434,23.029495412594336,False,-5.0927928576605765,-2.8101942946355964,33.04063022810564,-0.10179161313318849,-5.432400395568401,32.33026216164831
82,57,70,-4.000001907348633,-2.8458851938951026,-4.000001907348632,1.7729134974127998,4.618798691307902,1.0448031168424348,1.2658060846393577,26.580608463935775,False,-5.0927928576605765,-2.8101942946355964,33.04063022810564,-5.148649715241582,2.8109951686295243,34.647089706327186
83,58,59,-1.9073486319243216e-06,-5.1552862706536065,3.9999980926513676,-2.8458851938951026,4.618802153517006,1.0124284145635982,1.2328264765366503,23.282647653665034,False,-0.10179161313318849,-5.432400395568401,32.33026216164831,4.907017808830135,-2.8261971776485284,33.067308212686285
84,59,72,3.9999980926513676,-2.8458851938951026,4.000001483493382,1.7729134974127998,4.618798691309147,1.0449064008776843,1.2601334155401256,26.01334155401256,False,4.907017808830135,-2.8261971776485284,33.067308212686285,5.044044527849613,2.771120408880818,34.65701935840021
85,60,61,19.999998092651367,-2.8458851938951026,23.999998092651367,-5.1552862706536065,4.618802153517007,1.6204802839590637,1.1747068961304363,17.470689613043632,True,21.734497476394267,-2.9919261812987408,24.23836928868492,24.119581249932388,-5.180227278257116,19.883905533601038
86,60,76,19.999998092651367,-2.8458851938951026,19.999998092651367,1.7729134974127998,4.618798691307902,1.0739650843127033,1.1844365121556184,18.44365121556184,False,21.734497476394267,-2.9919261812987408,24.23836928868492,22.38555679218971,2.214855647086794,25.78556569486436
