cell,x0_mm,y0_mm,z_direct_mm,direct_edge_stretch_max,direct_edge_stretch_mean,x_relaxed_mm,y_relaxed_mm,z_relaxed_mm,relaxed_edge_stretch_max,relaxed_edge_stretch_mean,xy_shift_mm,boundary_cell,candidate_hex_side_mm,candidate_ligament_gap_mm,candidate_hole_scale
18,3.999998092651367,-7.464687347412109,30.95758936915521,1.3109685300447984,1.1124911763082448,4.268420625555639,-7.672381904539392,30.797738141283435,1.1872651633251339,1.0869666372470295,0.3393931131166972,False,3.437788519230853,2.045575619015187,0.8594471298077132
19,19.999998092651367,-7.464687347412109,22.92954626684886,1.3213616863260338,1.164579496617646,18.544984710909862,-6.165852542279396,25.227131945830866,1.0501591976327806,1.0071776226643938,1.9503937530844857,False,3.849410983470768,1.3326245974149504,0.962352745867692
20,-24.000000211927624,-0.5364875793457031,22.99671054956743,1.3156384636039644,1.1575468093495898,-23.285219403631174,-0.07488421370783943,24.022540585242695,1.1321985178674356,1.0485609768162234,0.850875590834012,True,3.6031107806383855,1.759229062635157,0.9007776951595964
21,-16.000001907348633,-0.5364875793457031,29.836145647253176,1.320476670651108,1.138607739862727,-16.39012529643449,0.31114734998080157,29.88330206126401,1.1321985178674356,1.0688084039997727,0.9331030126016013,False,3.6031107806383855,1.759229062635157,0.9007776951595964
22,-8.000001907348633,-0.5364875793457031,33.210265763583664,1.1559203615990545,1.053652960211392,-8.40961131260912,0.050815444994845596,33.2725350959064,1.1346031191272288,1.09763478411684,0.716034012654012,False,3.5958916352782824,1.7717329891860807,0.8989729088195706
23,1.4834933810763887e-06,-0.5364875793457031,34.246747771199765,1.081401557227869,1.0327219121040703,0.06180070547386312,-0.19686580383161154,34.35530623256333,1.1607876100448697,1.1110253845514586,0.34519863012581165,False,3.517279996302837,1.9078923419578135,0.8793199990757092
24,7.999998092651367,-0.5364875793457031,33.21077078902079,1.155670956081342,1.053567402237911,8.393741435467117,-0.16445942624715013,33.218078557081874,1.1359534111210543,1.0994542417904924,0.5416998862005062,False,3.5918377597584596,1.7787545075539732,0.8979594399396149
25,15.999998092651367,-0.5364875793457031,29.839231744604987,1.3213616863260338,1.1386642149275998,16.020199404723446,0.21591947112311527,30.072726852894085,1.0900651822528575,1.0597691099472262,0.7526781932569991,False,3.7296043824648404,1.54013571743935,0.9324010956162101
26,23.999998092651367,-0.5364875793457031,23.004328708796695,1.3152702877456726,1.1572228241560434,22.54351328041417,0.6433394495751037,25.10415088139994,1.0263943179833779,1.0036247589987766,1.8743905213294585,False,3.920758413717545,1.2090472232380565,0.9801896034293862
27,-28.000000211927897,6.391716003417969,19.55731654912583,1.51587009308372,1.2637680409987835,-26.938924190680794,6.610524493459252,21.26318074700966,1.143821889942779,1.0755937564598204,1.083401808277857,True,3.568214844256114,1.819670597426942,0.8920537110640285
28,-20.000001907348633,6.391716003417969,28.67121482022843,1.51587009308372,1.1779108866376162,-20.829680293690032,7.140616905186679,28.05502369055764,1.143821889942779,1.0889230514375048,1.1176845643704916,False,3.568214844256114,1.819670597426942,0.8920537110640285
29,-12.000001907348633,6.391716003417969,33.25056808002925,1.1522428962004956,1.0527470005369828,-13.11338255174884,7.652844298608985,32.85658892172505,1.1378341295940193,1.1098891303406102,1.6822785251724575,False,3.5861914265119506,1.788534243613392,0.8965478566279876
30,-4.000001907348633,6.391716003417969,35.29210440641888,1.0333051627850312,1.0134950675419123,-4.492185287282997,7.745926569373976,35.30331654745669,1.150580154517128,1.1276631838380227,1.4408784599786704,False,3.5479250377255878,1.8548135732135567,0.8869812594313969
31,3.999998092651367,6.391716003417969,35.29198764008295,1.0332855913494572,1.0134879155165806,4.381059563518935,7.714091666699464,35.31749518151634,1.145269673398309,1.1274341397426522,1.3761850309529347,False,3.563868277783666,1.8271990713956976,0.8909670694459165
32,19.999998092651367,6.391716003417969,28.669870384245865,1.5144647851304887,1.1776098516835516,20.45881593824906,7.478249941005856,28.39044507218213,1.1694614443331453,1.0730985245074185,1.179436226749521,False,3.491239225384378,1.9529962802568468,0.8728098063460945
33,27.99999809265137,6.391716003417969,19.5709347615688,1.5144647851304887,1.2628697454100237,26.767696253750366,6.619737255341686,21.535523511779928,1.1694614443331453,1.0864242378032347,1.2532204568581133,True,3.491239225384378,1.9529962802568468,0.8728098063460945
34,11.999998498106786,6.391716511420542,33.25150684056101,1.1523847200045958,1.05274964444383,12.865468972016462,7.67565433169469,32.96885467206577,1.128645649406691,1.1061197255525215,1.5483977097437758,False,3.6137772783618582,1.7407541466392846,0.9034443195904646
35,-24.000000211927624,13.31991958618164,24.672374107771653,1.5371990924217953,1.2283017271806078,-23.99223010444316,13.952523524517282,24.53388751750894,1.1061556007404914,1.0636350667556924,0.6326516556273953,False,3.6812973837497527,1.623805893575046,0.9203243459374382
36,-16.000001907348633,13.31991958618164,31.093007773978243,1.2822377543092598,1.1027721842321145,-17.279488601316213,14.890683960893638,30.024995319046127,1.1272911267571326,1.1033221768654977,2.025928656420176,False,3.617843855246857,1.733710628861581,0.9044609638117143
37,-8.000001907348633,13.31991958618164,34.33686465037307,1.0790809706248157,1.0313123978044774,-9.05193971052398,15.498679666962014,33.65193298513406,1.1443185724957452,1.1287438818986162,2.4194149357544013,False,3.566723693266699,1.8222533467023663,0.8916809233166747
38,1.4834933810763887e-06,13.31991958618164,35.33228954029255,1.0307611461649953,1.012829957057159,-0.08106973603541787,15.665055224684094,34.92529570730944,1.1437126247259002,1.1367559364042508,2.3465365340454847,False,3.56854288262848,1.8191024182991722,0.89213572065712
39,7.999998092651367,13.31991958618164,34.33599989733264,1.0790568957776607,1.0312819010288339,8.8594938445293,15.542020462484428,33.70123667721769,1.1501405172378594,1.1268401594514967,2.3825333684886414,False,3.5492449261735515,1.8525274593613599,0.8873112315433879
40,15.999998092651367,13.31991958618164,31.092655605275358,1.2823002610102248,1.1028357568879221,17.037230493002188,15.049754438186042,30.13923416736104,1.12795985682273,1.0975933466412509,2.0169728970778498,False,3.61583617953324,1.7371880252026877,0.90395904488331
41,23.999998092651367,13.31991958618164,24.671221699926726,1.5378557423526962,1.2282300234681762,23.8382523076961,14.035993876309607,24.692973045929936,1.1073022403258614,1.0633953480797835,0.7341144923873031,False,3.6778549178487125,1.629768419418971,0.9194637294621781
42,11.999998478369836,20.248126463365754,31.140666191753496,1.276672349357007,1.1016231621186274,13.091572328469653,22.59417012525609,29.57601508693399,1.1506878966552556,1.11404767872852,2.5875576000772518,False,3.547601571972842,1.8553738323318205,0.8869003929932106
